WORLD 2048 400
PLAYER 16384 1648
TILE 608 128 2
TILE 609 128 2
TILE 610 128 2
TILE 611 128 2
TILE 612 128 2
TILE 613 128 2
TILE 614 128 2
TILE 615 128 2
TILE 616 128 2
TILE 617 128 2
TILE 618 128 2
TILE 619 128 2
TILE 620 128 2
TILE 621 128 2
TILE 622 128 2
TILE 623 128 2
TILE 624 128 2
TILE 625 128 2
TILE 626 128 18
TILE 627 128 19
TILE 631 128 4
TILE 608 129 2
TILE 609 129 2
TILE 610 129 2
TILE 611 129 2
TILE 612 129 2
TILE 613 129 2
TILE 614 129 2
TILE 615 129 2
TILE 616 129 2
TILE 617 129 2
TILE 618 129 2
TILE 619 129 2
TILE 620 129 2
TILE 621 129 2
TILE 622 129 2
TILE 623 129 2
TILE 624 129 2
TILE 625 129 2
TILE 626 129 18
TILE 627 129 18
TILE 631 129 4
TILE 608 130 2
TILE 609 130 2
TILE 610 130 2
TILE 611 130 2
TILE 612 130 2
TILE 613 130 2
TILE 614 130 2
TILE 615 130 2
TILE 616 130 2
TILE 617 130 2
TILE 618 130 2
TILE 619 130 2
TILE 620 130 2
TILE 621 130 2
TILE 622 130 2
TILE 623 130 2
TILE 624 130 2
TILE 625 130 2
TILE 626 130 18
TILE 627 130 18
TILE 628 130 19
TILE 631 130 4
TILE 608 131 2
TILE 609 131 2
TILE 610 131 2
TILE 611 131 2
TILE 612 131 2
TILE 613 131 2
TILE 614 131 2
TILE 615 131 2
TILE 616 131 2
TILE 617 131 2
TILE 618 131 2
TILE 619 131 2
TILE 620 131 2
TILE 621 131 2
TILE 622 131 2
TILE 623 131 2
TILE 624 131 2
TILE 625 131 2
TILE 626 131 18
TILE 627 131 18
TILE 628 131 18
TILE 629 131 19
TILE 631 131 4
TILE 639 131 19
TILE 608 132 2
TILE 609 132 2
TILE 610 132 2
TILE 611 132 2
TILE 612 132 2
TILE 613 132 2
TILE 614 132 2
TILE 615 132 2
TILE 616 132 2
TILE 617 132 2
TILE 618 132 2
TILE 619 132 2
TILE 620 132 2
TILE 621 132 2
TILE 622 132 2
TILE 623 132 2
TILE 624 132 2
TILE 625 132 2
TILE 626 132 18
TILE 627 132 18
TILE 628 132 18
TILE 629 132 18
TILE 630 132 19
TILE 631 132 19
TILE 637 132 19
TILE 638 132 19
TILE 639 132 18
TILE 608 133 2
TILE 609 133 2
TILE 610 133 2
TILE 611 133 2
TILE 612 133 2
TILE 613 133 2
TILE 614 133 2
TILE 615 133 2
TILE 616 133 2
TILE 617 133 2
TILE 618 133 2
TILE 619 133 2
TILE 620 133 2
TILE 621 133 2
TILE 622 133 2
TILE 623 133 2
TILE 624 133 2
TILE 625 133 2
TILE 626 133 18
TILE 627 133 18
TILE 628 133 18
TILE 629 133 18
TILE 630 133 18
TILE 631 133 18
TILE 632 133 19
TILE 633 133 19
TILE 634 133 19
TILE 635 133 19
TILE 636 133 19
TILE 637 133 18
TILE 638 133 18
TILE 639 133 18
TILE 608 134 2
TILE 609 134 2
TILE 610 134 2
TILE 611 134 2
TILE 612 134 2
TILE 613 134 2
TILE 614 134 2
TILE 615 134 2
TILE 616 134 2
TILE 617 134 2
TILE 618 134 2
TILE 619 134 2
